GEOID20,District
080010097511008,7
080010097511009,7
080010097511010,7
080010097511011,7
080010097511012,7
080010097511013,7
080010097511014,7
080010097511015,7
080010097511016,7
080010097511017,7
080010097511018,7
080010097511019,7
080010097511020,7
080010097511021,7
080010097511022,7
080010097511023,7
080010097511024,7
080010097511025,7
080010097511026,7
080010097511027,7
080010097511028,7
080010097511029,7
080010097511030,7
080010097511031,7
080010097511032,7
080010097511033,7
080010097511034,7
080010097511035,7
080010097511036,7
080010097511037,7
080010097511038,7
080010097512002,7
080010097512003,7
080010097512004,7
080010097512005,7
080010097512006,7
080010097512007,7
080010097512008,7
080010097512009,7
080010097512010,7
080010097512011,7
080010097512012,7
080010097512013,7
080010097512014,7
080010097512015,7
080010097512016,7
080010097512017,7
080010097512018,7
080010097512019,7
080010097512020,7
080310154002000,1
080310154002001,1
080310154002002,1
080310154002003,1
080310154002004,1
080310154002005,1
080310154002012,1
080310154002013,1
080310154002014,1
080310154002015,1
080310154002016,1
080310154002017,1
080310154002018,1
080310154003000,1
080310154003001,1
080310154003002,1
080310154003003,1
080310154003004,1
080310154003005,1
080310154003012,1
080310154003013,1
080310154003014,1
080310154003015,1
080310154003016,1
080310154003017,1
080310154004000,1
080310154004001,1
080310154004002,1
080310154004003,1
080310154004004,1
080310154004005,1
080310154004006,1
080310154004007,1
080310154004008,1
080310154004009,1
080310154004010,1
080310154004011,1
080310154004012,1
080310154004013,1
080310154004014,1
080310154004015,1
080310154004016,1
080310154004017,1
080310154004018,1
080010095024015,7
080010095024016,7
080010095024017,7
080010095024018,7
080010095532024,7
080010095532047,7
080010095532048,7
080010095532049,7
080010095532050,7
080010095532051,7
080010095532052,7
080010095532060,7
080010095532061,7
080010097521000,7
080010097521001,7
080010097521002,7
080010097521003,7
080010097521004,7
080010097521005,7
080010097521006,7
080010097521007,7
080010097521008,7
080010097521009,7
080010097521010,7
080010097521011,7
080010097521012,7
080010097521013,7
080010097521014,7
080010097521015,7
080010097521016,7
080010097521017,7
080010097521018,7
080010097521019,7
080010097521020,7
080010097521021,7
080010097521022,7
080010097521023,7
080010097521024,7
080010097521025,7
080010097521026,7
080010097522000,7
080010097522001,7
080010097522002,7
080010097522003,7
080010097522004,7
080010097522005,7
080010097522006,7
080010097522007,7
080010097522008,7
080010097522009,7
080010097522011,7
080010097522012,7
080010097522013,7
080010097522014,7
080010097522015,7
080010097522016,7
080010097522017,7
080010097522018,7
080010097522019,7
080010097522020,7
080010097522021,7
080010097522022,7
080010097522023,7
080010097522024,7
080010097522025,7
080010095023000,7
080010095023001,7
080010095023002,7
080010095023003,7
080010095023004,7
080010095023005,7
080010095023006,7
080010095023007,7
080010095023008,7
080010095023009,7
080010095023010,7
080010095023011,7
080010095023012,7
080010095023013,7
080010095023014,7
080010095023015,7
080010095023016,7
080010095023017,7
080010095023018,7
080010095023022,7
080010095023025,7
080010095023026,7
080010095023027,7
080010095531013,7
080010095531014,7
080010095531015,7
080010095531016,7
080010095531017,7
080010095531018,7
080010095531019,7
080010095531020,7
080010095531021,7
080010095532000,7
080010095532001,7
080010095532004,7
080010095532005,7
080010095532006,7
080010095532007,7
080010095532008,7
080010095532009,7
080010095532010,7
080010095532014,7
080010095532015,7
080010095532016,7
080010095532017,7
080010095532018,7
080010095532019,7
080010095532020,7
080010095532021,7
080010095532022,7
080010095532023,7
080010095532025,7
080010095532026,7
080010095532027,7
080010095532028,7
080010095532029,7
080010095532030,7
080010095532031,7
080010095532032,7
080010095532033,7
080010095532034,7
080010095532035,7
080010095532036,7
080010095532045,7
080010095532046,7
080010095532056,7
080010095532057,7
080010095532058,7
080010095532059,7
080010095532062,7
080010095531003,7
080010095531004,7
080010095531005,7
080010095531006,7
080010095531007,7
080010095531008,7
080010095531009,7
080010095531010,7
080010095531011,7
080010095531012,7
080010095531022,7
080010095531023,7
080010095531024,7
080010095531025,7
080010095531026,7
080010095531027,7
080010095531028,7
080010095531029,7
080010095531030,7
